Sample_ID	N_per_kg_dry_sample	C_per_kg_dry_sample	CN_ratio	Remarks	QC	MISS
2C16EB1	125.6038078	1263.852943	11.73925476	N under QL	N_und_QL	
2C16EB2	125.8375021	1226.456519	11.37074334	N and C under QL	NC_und_QL	
2C16EB3	122.0978699	1339.565289	12.79978243	N under QL	N_und_QL	
2C16RB1	2186.024623	18919.42226	10.09716865		OK	
2C16RB2	3473.049751	29233.90146	9.820250447		OK	
2C16RB3	890.4685655	8217.438703	10.7662552		OK	
2C16SB1	337.981022	2997.961401	10.34857405	N under QL	N_und_QL	
2C16SB2	320.3177481	2607.112451	9.495668634	N under QL	N_und_QL	
2C16SB3	306.2120489	2536.124036	9.662622309	N under QL	N_und_QL	
2C17EB1	205.710906	1834.904668	10.40645902		OK	
2C17EB2	316.7092623	3142.420327	11.57578096		OK	
2C17EB3	319.5064706	2934.072543	10.71366294		OK	
2C17RB1	98.10985071	1490.529527	17.72453125	N under QL	N_und_QL	
2C17RB2	37.69812978	459.1922488	14.21089835	C and N under QL	NC_und_QL	
2C17RB3	63.66333002	688.1741282	12.6111816	C and N under QL	NC_und_QL	
2C17SB1	340.5409714	2843.956914	9.743173394	N under QL	N_und_QL	
2C17SB2	236.3785928	2198.242178	10.84961139	N under QL	N_und_QL	
2C17SB3	320.6834073	2824.676342	10.27635249	N under QL	N_und_QL	
2C18RB1	162.9006869	1344.485171	9.62897126	C and N under QL	NC_und_QL	
2C18RB2	170.9262798	1370.000489	9.35101323	C and N under QL	NC_und_QL	
2C18RB3	122.0958311	1216.046101	11.61972885	C and N under QL	NC_und_QL	
2C18SB1	412.3626431	4038.773927	11.42659985		OK	
2C18SB2	380.7064055	3494.816095	10.70978945		OK	
2C18SB3	502.4527495	4605.250268	10.69312883		OK	
2C19EB1	172.0136725	1403.783689	9.521031749	C and N under QL	NC_und_QL	
2C19EB2	168.4482918	1453.059793	10.06383862	N under QL	N_und_QL	
2C19EB3	176.1871484	1826.633351	12.09550335	N under QL	N_und_QL	
2C19RB1	368.2060991	3981.657507	12.61594282		OK	
2C19RB2	255.5935109	2524.950711	11.52523716		OK	
2C19RB3	169.6305429	1447.839568	9.957794949	N under QL	N_und_QL	
2C19SB1	152.4931811	1310.501057	10.02613945	C and N under QL	NC_und_QL	
2C19SB2	155.4737561	1299.430298	9.750854762	C and N under QL	NC_und_QL	
2C19SB3	174.2451261	1419.458469	9.50405281	C and N under QL	NC_und_QL	
2C1RB1	167.6742616	1735.350487	12.07445644	N under QL	N_und_QL	
2C1RB2	322.5904487	4081.584006	14.76128021		OK	
2C1RB3	194.7655229	1547.198399	9.267886694		OK	
2C1SB1	63.49875553	565.6886592	10.39343365	N and Q under DL	NC_und_QL	
2C1SB2	61.6163114	417.4496737	7.904150836	N and Q under DL	NC_und_QL	
2C1SB3	57.47054152	509.5367652	10.34372643	N and Q under DL	NC_und_QL	
2C20EB1	245.3626702	2823.156284	13.42373039		OK	
2C20EB2	187.3642086	1445.014817	8.997719643	C and N under QL	NC_und_QL	
2C20EB3	439.9874496	6061.104457	16.07156872		OK	
2C20RB1	126.0602543	1206.386932	11.16491021	C and N under QL	NC_und_QL	
2C20RB2	128.1474086	1147.872491	10.45034455	C and N under QL	NC_und_QL	
2C20RB3	159.4174835	1314.196498	9.617698222	C and N under QL	NC_und_QL	
2C20SB1	113.5715127	874.6542512	8.984911226	C and N under QL	NC_und_QL	
2C20SB2	116.8604237	912.259236	9.107466911	C and N under QL	NC_und_QL	
2C20SB3	107.1758732	870.3005385	9.47368655	C and N under QL	NC_und_QL	
2C21EB1	736.5628037	7016.111757	11.11305604		OK	
2C21EB2	609.765941	5620.213205	10.75316767		OK	
2C21EB3	920.9370143	8430.91801	10.68050351		OK	
2C21RB1	350.9013037	2998.714253	9.970039794		OK	
2C21RB2	332.5145999	2789.792153	9.788314598		OK	
2C21RB3	377.4767912	3227.174185	9.974219969		OK	
2C21SB1	425.0733735	3320.310003	9.113003178		OK	
2C21SB2	377.7829524	3066.28034	9.469265462		OK	
2C21SB3	435.3542293	3631.207079	9.730945457		OK	
2C23RB1	99.11401386	869.5995244	10.23601748	C and N under QL	NC_und_QL	
2C23RB2	130.1788886	1164.288617	10.43438559	C and N under QL	NC_und_QL	
2C23RB3	114.0690359	1019.184791	10.42394119	C and N under QL	NC_und_QL	
2C23SB1	61.06302948	475.2023459	9.079188203	C and N under QL	NC_und_QL	
2C23SB2	44.74205517	325.2314427	8.480537644	C and N under QL	NC_und_QL	
2C23SB3	38.89243059	340.4234875	10.21177461	C and N under QL	NC_und_QL	
2C24EB1	898.5042128	7790.174333	10.11518543		OK	
2C24EB2	845.418633	6792.421293	9.37345263		OK	
2C24EB3	681.5461282	5514.234627	9.439234507		OK	
2C24RB1	802.7239822	6263.178459	9.102807064		OK	
2C24RB2	708.1014028	5447.073596	8.974589191		OK	
2C24RB3	595.1251325	4559.804392	8.938913011		OK	
2C24SB1	188.1033956	1486.163495	9.217576351	N under QL	N_und_QL	
2C24SB2	168.740906	1267.730149	8.765026465	C and N under QL	NC_und_QL	
2C24SB3	185.798726	1329.784715	8.349979219	C and N under QL	NC_und_QL	
2C25EB1	840.5149578	7395.713411	10.26553095	N under QL	N_und_QL	
2C25EB2	427.3122302	4072.97271	11.12020944	N under QL	N_und_QL	
2C25EB3	1389.717225	12808.31279	10.75256989		OK	
2C25RB1	496.5060143	3405.194172	8.001366386		OK	
2C25RB2	743.5350114	6032.23919	9.465071961	N under QL	N_und_QL	
2C25RB3	538.5987023	4662.968588	10.10052567	N under QL	N_und_QL	
2C25SB1	62.63734987	460.2364015	8.572241155	C and N under QL	NC_und_QL	
2C25SB2	70.10247857	530.6706716	8.831581938	C and N under QL	NC_und_QL	
2C25SB3	63.5564546	553.0094536	10.15125371	C and N under QL	NC_und_QL	
2C26EB1	108.5794155	1259.231344	13.53021867	N under QL	N_und_QL	
2C26EB2	56.7805465	506.8357201	10.41392478	C and N under QL	NC_und_QL	
2C26EB3	68.3974943	547.1976817	9.33363571	C and N under QL	NC_und_QL	
2C26RB1	50.65756049	503.2328312	11.58968107	N and C under QL	NC_und_QL	
2C26RB2	74.66987237	772.0420828	12.06263965	N and C under QL	NC_und_QL	
2C26RB3	94.69627185	956.0749494	11.77893018	N and C under QL	NC_und_QL	
2C26SB1	89.25378582	782.5782224	10.22934677	C and N under QL	NC_und_QL	
2C26SB2	74.62248571	695.1544134	10.86821854	N and C under QL	NC_und_QL	
2C26SB3	62.48765608	579.5403483	10.82022353	N and C under QL	NC_und_QL	
2C27EB1	220.6016423	1716.125541	9.075845686		OK	
2C27EB2	431.8080962	3429.078509	9.264744292		OK	
2C27EB3	194.0110556	1493.667809	8.982026506		OK	
2C27RB1	37.96044838	273.5584927	8.407476424	N and C under QL	NC_und_QL	
2C27RB2	38.87989546	355.3213253	10.66210547	N and C under QL	NC_und_QL	
2C27RB3	42.49827904	336.7570142	9.244684538	N and C under QL	NC_und_QL	
2C27SB1	19.2596912	202.9354278	12.2929281	N and C under QL	NC_und_QL	
2C27SB2	23.92632553	210.312889	10.25502378	N and C under QL	NC_und_QL	
2C27SB3	29.97368178	368.767944	14.35356761	N and C under QL	NC_und_QL	
2C28EB1	78.73365564	785.9379857	11.6459428	N and C under QL	NC_und_QL	
2C28EB2	95.30017807	1007.652491	12.33570174	N and C under QL	NC_und_QL	
2C28EB3	139.7888496	1224.59206	10.22034834	N and C under QL	NC_und_QL	
2C28RB1	NA	559.4586796	NA	N and C under QL	NC_und_QL	N
2C28RB2	NA	550.0605533	NA	N and C under QL	NC_und_QL	N
2C28RB3	NA	660.0033152	NA	N and C under QL	NC_und_QL	N
2C28SB1	75.65421745	568.6931514	8.769839483	N and C under QL	NC_und_QL	
2C28SB2	77.76363226	532.2721734	7.985534938	N and C under QL	NC_und_QL	
2C28SB3	72.09609635	893.5646862	14.45975839	N and C under QL	NC_und_QL	
2C29EB1	268.2006539	2585.044592	11.24488443		OK	
2C29EB2	163.068785	1604.608791	11.48008547	N under QL	N_und_QL	
2C29EB3	250.1910403	2037.058733	9.499015307		OK	
2C29RB1	52.51304285	986.7212692	21.9216932	N and C under QL	NC_und_QL	
2C29RB2	49.8533922	962.1226329	22.5155472	N and C under QL	NC_und_QL	
2C29RB3	47.78398206	1326.575982	32.3889285	N under QL	N_und_QL	
2C29SB1	319.2019338	2856.396372	10.43998197		OK	
2C29SB2	219.3545649	2058.016911	10.9458389		OK	
2C29SB3	256.9429188	2464.502031	11.19023783		OK	
2C30EB1	144.6684045	1662.368121	13.40603348	N under QL	N_und_QL	
2C30EB2	199.5875689	2415.687246	14.12062787		OK	
2C30EB3	289.7872743	3209.137499	12.91980042		OK	
2C30RB1	519.5867442	4961.431908	11.14027117		OK	
2C30RB2	381.1172391	3321.698674	10.16830183		OK	
2C30RB3	316.1586675	2714.347858	10.01629717		OK	
2C30SB1	68.9320893	691.0395236	11.69575427	N and C under QL	NC_und_QL	
2C30SB2	76.60362471	1097.284903	16.71155542	N and C under QL	NC_und_QL	
2C30SB3	89.55686792	1090.266436	14.20301467	N and C under QL	NC_und_QL	
2C31EB1	144.3594826	1560.813556	12.61399054	N under QL	N_und_QL	
2C31EB2	133.8368442	1488.82698	12.97822599	N under QL	N_und_QL	
2C31EB3	129.3368624	1207.292144	10.89022476	N under QL	N_und_QL	
2C31RB1	56.67344391	1532.643032	31.55064195	N under QL	N_und_QL	
2C31RB2	56.27815379	1105.929593	22.92632406	N and C under QL	NC_und_QL	
2C31RB3	202.6332023	1933.911324	11.13455175		OK	
2C31SB1	27.27851179	690.1063304	29.51495515	N and C under QL	NC_und_QL	
2C31SB2	35.45010415	696.4084013	22.91887394	N and C under QL	NC_und_QL	
2C31SB3	34.71466972	709.5034734	23.84450317	N and C under QL	NC_und_QL	
2C32RB1	75.74581663	700.2333747	10.78526806	N and C under QL	NC_und_QL	
2C32RB2	152.1955779	1373.695826	10.53016883	N under QL	N_und_QL	
2C32RB3	55.63874673	557.2429339	11.6846046	N and C under QL	NC_und_QL	
2C32SB1	NA	275.8233602	NA	N and C under QL	NC_und_QL	N
2C32SB2	0	278.881915	NA	N and C under QL	NC_und_QL	
2C32SB3	0	280.001639	NA	N and C under QL	NC_und_QL	
2C33RB1	34.63148645	531.3869251	17.90138039	N and C under QL	NC_und_QL	
2C33RB2	48.21449227	696.9175842	16.86361251	N and C under QL	NC_und_QL	
2C33RB3	56.8707825	840.2603508	17.23738798	N and C under QL	NC_und_QL	
2C33SB1	42.26134066	602.8830111	16.64318978	N and C under QL	NC_und_QL	
2C33SB2	51.7181661	614.6065054	13.86439189	N and C under QL	NC_und_QL	
2C33SB3	40.72999734	598.2648801	17.13664962	N and C under QL	NC_und_QL	
2C3RB1	50.53831611	265.904494	6.138350732	N and C under QL	NC_und_QL	
2C3RB2	44.62606413	227.8799034	5.95750247	N and C under QL	NC_und_QL	
2C3RB3	23.44355102	385.9427186	19.20641223	N and C under QL	NC_und_QL	
2C3SB1	110.7487734	288.9646751	3.044055875	N and Q under DL	NC_und_QL	
2C3SB2	88.23236214	226.4415959	2.994160594	N and C under QL	NC_und_QL	
2C3SB3	74.36461609	283.6997952	4.450814269	N and C under QL	NC_und_QL	
2C4RB1	85.5200445	224.5514201	3.063336301	N and C under QL	NC_und_QL	
2C4RB2	103.9703662	202.309757	2.270147335	N and C under QL	NC_und_QL	
2C4RB3	157.0223458	229.2829731	1.703558819	N and C under QL	NC_und_QL	
2C4SB1	50.92971346	193.6009069	4.434890939	N and C under QL	NC_und_QL	CN
2C4SB2	57.62807794	161.6001491	3.271556402	N and C under QL	NC_und_QL	
2C4SB3	70.34649841	172.1780915	2.855500197	N and C under QL	NC_und_QL	
2C5RB1	263.1200676	345.4982897	1.531929289	C under QL	C_und_QL	
2C5RB2	226.6942307	526.2738911	2.708433313	C under QL	C_und_QL	
2C5RB3	394.2125123	437.4979699	1.2947694	C under QL	C_und_QL	
2C5SB1	595.3056611	416.9774394	0.817183022	C under QL	C_und_QL	CN
2C5SB2	696.5495009	348.9506599	0.584465429	C under QL	C_und_QL	
2C5SB3	521.3289987	440.7518659	0.986345497	C under QL	C_und_QL	
2C6RB1	378.3233238	1344.433743	4.145940616	C under QL	C_und_QL	
2C6RB2	212.4393576	830.9007023	4.563109979	C under QL	C_und_QL	
2C6RB3	180.3945213	1277.661605	8.26302925	N and C under QL	NC_und_QL	
2C6SB1	312.7345958	681.4203552	2.542060984	C under QL	C_und_QL	
2C6SB2	378.7905801	618.5179534	1.905021711	C under QL	C_und_QL	
2C6SB3	298.9803866	630.5953715	2.460678469	C under QL	C_und_QL	CN
2C7RB1	353.7502121	553.158479	1.824314267	C under QL	C_und_QL	
2C7RB2	452.8331062	379.7573836	0.9783964	C under QL	C_und_QL	
2C7RB3	485.456851	598.475218	1.438276309	C under QL	C_und_QL	
2C7SB1	605.6980429	639.6299763	1.232024738	C under QL	C_und_QL	
2C7SB2	679.8747782	567.6785363	0.97413766	C under QL	C_und_QL	
2C7SB3	646.6573631	533.2355001	0.96203665	C under QL	C_und_QL	
2C8EB1	4567.2788	15480.74119	3.954403817		OK	
2C8EB2	1663.607361	12382.9056	8.683974078		OK	CN
2C8EB3	4176.754702	13791.1935	3.852207492		OK	
2C8RB1	2161.545426	5192.245801	2.802448669		OK	
2C8RB2	1600.281644	5264.085595	3.837720202		OK	
2C8RB3	1909.583721	5545.738947	3.388188065		OK	
2C8SB1	2599.759327	7696.746221	3.453987899		OK	
2C8SB2	2583.419282	7342.816117	3.31600018		OK	
2C8SB3	2632.974285	7964.393191	3.5290098		OK	
2C9EB1	647.9543712	2166.021735	3.900005108		OK	
2C9EB2	893.2443518	3502.800772	4.575008946		OK	
2C9EB3	1066.218748	4228.059762	4.626383091		OK	
2C9RB1	659.7729071	2828.619045	5.001805193		OK	CN
2C9RB2	800.6771362	2471.009573	3.600508085		OK	
2C9RB3	874.5461581	3100.085652	4.13559257		OK	
2C9SB1	620.3090648	2681.977955	5.044218211		OK	
2C9SB2	806.7210839	2806.288145	4.058407424		OK	
2C9SB3	3295.166126	34080.03281	12.0661711		OK	
C10EB1	146.0326806	1284.410274	10.26125554	N  and C under QL	NC_und_QL	
C10EB2	129.5256009	1204.587816	10.84999755	N  and C under QL	NC_und_QL	
C10EB3	160.0851939	1516.539945	11.05221888	N under QL	N_und_QL	
C10RB1	239.9813151	1841.145252	8.950708487		OK	
C10RB2	216.0488178	1700.363332	9.181986002		OK	
C10RB3	242.0752395	2533.309745	12.20912986		OK	
C10SB1	169.3745682	1266.110121	8.721075956	N  and C under QL	NC_und_QL	
C10SB2	144.8438367	1107.166904	8.91784387	N  and C under QL	NC_und_QL	
C10SB3	182.7140527	1388.671977	8.866955122	N under QL	N_und_QL	
C11RB1	364.3452465	3637.055007	11.64618142		OK	
C11RB2	338.6120166	2703.644051	9.315237612		OK	
C11RB3	299.5678282	2617.523162	10.19394186		OK	
C11SB1	98.34915212	891.0945471	10.5706077	N  and C under QL	NC_und_QL	
C11SB2	100.284107	764.5924916	8.894974492	N  and C under QL	NC_und_QL	
C11SB3	83.83498103	746.2551733	10.38505675	N  and C under QL	NC_und_QL	
C12RB1	257.1403902	2175.568617	9.870730087		OK	
C12RB2	321.7792754	2593.71291	9.403956771		OK	
C12RB3	156.0865905	1273.727701	9.520456864	N  and C under QL	NC_und_QL	
C12SB1	565.2909807	4349.27824	8.976187696		OK	
C12SB2	498.0660466	3824.076048	8.957490851		OK	
C12SB3	522.6069317	4125.748854	9.210313472		OK	
C13RB1	65.47416183	515.686905	9.188887733	N  and C under QL	NC_und_QL	
C13RB2	116.5378006	797.6498973	7.985319284	N  and C under QL	NC_und_QL	
C13RB3	131.8956536	938.0785539	8.297657655	N  and C under QL	NC_und_QL	
C13SB1	137.4040978	1176.467782	9.989117993	N  and C under QL	NC_und_QL	
C13SB2	120.8595547	1006.839806	9.719102833	N  and C under QL	NC_und_QL	
C13SB3	151.4456149	1264.330334	9.739813582	N  and C under QL	NC_und_QL	
C14RB1	16.72036019	500.6198463	34.9308556	N and C under QL	NC_und_QL	
C14RB2	15.81776686	427.1020464	31.5016478	N and C under QL	NC_und_QL	
C14RB3	8.708398222	300.0276983	40.19479883	N and C under QL	NC_und_QL	
C14SB1	68.0191997	705.8328293	12.10645873	N  and C under QL	NC_und_QL	
C14SB2	67.00278012	754.6703661	13.14048102	N and C under QL	NC_und_QL	
C14SB3	69.90657467	677.8979013	11.31339775	N and C under QL	NC_und_QL	
C15RB1	272.729541	3094.589395	13.23785565		OK	
C15RB2	105.3232428	1203.759313	13.33405455	N and C under QL	NC_und_QL	
C15RB3	123.1089881	1943.072038	18.41390634	N under QL	N_und_QL	
C15SB1	208.7069815	1928.718403	10.78148634		OK	
C15SB2	245.6053392	2141.117607	10.17066872		OK	
C15SB3	221.4060408	1816.559927	9.572096171		OK	
C16EB1	175.9411376	1576.906053	10.45647285		OK	
C16EB2	200.7415481	1715.750172	9.971570675		OK	
C16EB3	238.8960844	2388.521772	11.66452243		OK	
C16RB1	220.4744986	1772.948818	9.381766604		OK	
C16RB2	324.8202175	2775.630855	9.969317865		OK	
C16RB3	218.4312404	1754.842964	9.372820423		OK	
C16SB1	243.5573458	2085.721005	9.990834663		OK	
C16SB2	243.6649146	1912.511628	9.15709826		OK	
C16SB3	257.9128705	2159.415224	9.768096322		OK	
C17EB1	248.320547	1601.154432	7.522589355		OK	
C17EB2	221.939955	2073.81792	10.90139105		OK	
C17EB3	281.5168313	2732.478796	11.32398342		OK	
C17RB1	156.9800496	2137.529199	15.88599362	N under QL	N_und_QL	
C17RB2	217.1891725	3257.338394	17.4973185		OK	
C17RB3	113.5271628	1744.617052	17.92863056	N under QL	N_und_QL	
C17SB1	226.5761741	1885.639315	9.709372764		OK	
C17SB2	255.1924579	2183.907326	9.984197425		OK	
C17SB3	272.6728107	2172.174058	9.293933859		OK	
C18RB1	74.28836252	710.3106448	11.15512207	N and C under QL	NC_und_QL	
C18RB2	84.39933182	873.247049	12.07104608	N and C under QL	NC_und_QL	
C18RB3	70.4350926	813.1196606	13.46828078	N and C under QL	NC_und_QL	
C18SB1	1243.064485	12088.10156	11.34517583		OK	
C18SB2	1138.137539	10645.37747	10.91221985		OK	
C18SB3	1124.585564	10686.18805	11.08605676		OK	
C19EB1	193.7153203	1956.635473	11.78400026		OK	
C19EB2	179.80079	1835.633004	11.91080328		OK	
C19EB3	180.1962055	1662.087681	10.76106064		OK	
C19RB1	54.71644297	424.7546127	9.056638576	N and C under QL	NC_und_QL	
C19RB2	20.39651898	443.6671403	25.37745113	N and C under QL	NC_und_QL	
C19RB3	24.79995772	473.9132023	22.29434188	N and C under QL	NC_und_QL	
C19SB1	110.2711496	1160.210881	12.27500906	N and C under QL	NC_und_QL	
C19SB2	123.6972828	1166.512962	11.00211547	N and C under QL	NC_und_QL	
C19SB3	116.9801966	1104.307203	11.01347442	N and C under QL	NC_und_QL	
C1RB1	37.66386701	536.8321128	16.62877929	N and C under QL	NC_und_QL	
C1RB2	13.84909893	239.0895091	20.14122089	N and C under QL	NC_und_QL	
C1RB3	16.36179356	221.7657626	15.8128583	N and C under QL	NC_und_QL	
C1SB1	53.91675841	559.5577247	12.10787452	N and C under QL	NC_und_QL	
C1SB2	52.03009984	497.2399806	11.14957136	N and C under QL	NC_und_QL	
C1SB3	66.16761195	602.7637483	10.62792433	N and C under QL	NC_und_QL	
C20EB1	141.1580207	1891.367003	15.63208967	N under QL	N_und_QL	
C20EB2	198.2499328	2858.359821	16.82095463		OK	
C20EB3	205.0867	2362.320793	13.4384186		OK	
C20RB1	43.86472519	1067.983497	28.40507358	N and C under QL	NC_und_QL	
C20RB2	29.24066278	891.6895926	35.57732369	N and C under QL	NC_und_QL	
C20RB3	7.910457483	570.7571083	84.17759584	N and C under QL	NC_und_QL	
C20SB1	105.5239639	837.1354112	9.255319298	N and C under QL	NC_und_QL	
C20SB2	110.5948163	836.2317994	8.821423991	N and C under QL	NC_und_QL	
C20SB3	109.9919056	818.9448548	8.686417955	N and C under QL	NC_und_QL	
C21EB1	386.8984345	4842.203665	14.60134522		OK	
C21EB2	733.279844	9049.770594	14.39841253		OK	
C21EB3	473.9131848	6249.441155	15.38470529		OK	
C21RB1	218.2443505	2143.365379	11.45776712		OK	
C21RB2	55.35947983	1422.703333	29.98258944	N under QL	N_und_QL	
C21RB3	245.5539622	2565.081595	12.18711833		OK	
C21SB1	335.5139478	3150.749425	10.95595087		OK	
C21SB2	311.3925399	2763.366771	10.35325991		OK	
C21SB3	272.891583	2737.772665	11.70453143		OK	
C23RB1	89.20202395	887.334084	11.60537679	N and C under QL	NC_und_QL	
C23RB2	103.9141001	1537.513304	17.26200312	N under QL	N_und_QL	
C23RB3	76.49912063	927.0648634	14.13840663	N and C under QL	NC_und_QL	
C23SB1	31.7221866	461.2250101	16.96276022	N and C under QL	NC_und_QL	
C23SB2	36.8041837	576.5484076	18.2761779	N and C under QL	NC_und_QL	
C23SB3	33.31256661	491.5733257	17.21579187	N and C under QL	NC_und_QL	
C24EB1	368.9890859	3685.463154	11.65266719		OK	
C24EB2	403.253483	3873.638295	11.20695758		OK	
C24EB3	415.6760548	4331.441135	12.15693791		OK	
C24RB1	348.4519249	4029.943784	13.49282568		OK	
C24RB2	334.4440271	3311.984158	11.55344753		OK	
C24RB3	292.1463563	2721.722739	10.86901523		OK	
C24SB1	108.9104799	1438.393187	15.40830034		OK	
C24SB2	76.81890108	727.7910524	11.0531334	N and C under QL	NC_und_QL	
C24SB3	91.1599672	1012.014836	12.95178149	N and C under QL	NC_und_QL	
C25EB1	662.4420492	5539.630109	9.756176864		OK	
C25EB2	581.5254222	5557.261591	11.14907725		OK	
C25EB3	854.6761597	6706.290895	9.15435157		OK	
C25RB1	223.4886612	1976.789906	10.31933736		OK	
C25RB2	259.457954	2253.311636	10.13213715		OK	
C25RB3	107.8850524	1037.976067	11.22465116	N and C under QL	NC_und_QL	
C25SB1	41.12002738	484.4756242	13.74565139	N and C under QL	NC_und_QL	
C25SB2	37.34443417	537.0240447	16.77701286	N and C under QL	NC_und_QL	
C25SB3	40.65611142	495.9679721	14.23228343	N and C under QL	NC_und_QL	
C26EB1	112.9211964	1039.717046	10.74203302	N and C under QL	NC_und_QL	
C26EB2	115.0344985	845.486651	8.574828471	N and C under QL	NC_und_QL	
C26EB3	100.3602734	998.1394404	11.60315705	N and C under QL	NC_und_QL	
C26RB1	238.1659036	1053.901785	5.162586516		OK	
C26RB2	188.3118197	1239.513483	7.679279326		OK	
C26RB3	115.5227125	1114.021847	11.25053356	N and C under QL	NC_und_QL	
C26SB1	91.97257608	580.0376682	7.357743381	N and C under QL	NC_und_QL	
C26SB2	81.72632857	552.4550795	7.886453941	N and C under QL	NC_und_QL	
C26SB3	86.67636198	501.5754787	6.751222345	N and C under QL	NC_und_QL	
C27EB1	151.9253371	1099.576878	8.443882469	N and C under QL	NC_und_QL	
C27EB2	275.5066463	2601.156017	11.01491402		OK	
C27EB3	306.9105616	1729.770608	6.575419559		OK	
C27RB1	57.76538666	640.4464569	12.93486595	N and C under QL	NC_und_QL	
C27RB2	94.57845973	1570.890024	19.37761551	N under QL	N_und_QL	
C27RB3	103.1147599	1520.027229	17.19797537	N under QL	N_und_QL	
C27SB1	53.59671469	427.8775793	9.313826641	N and C under QL	NC_und_QL	
C27SB2	37.67768829	422.0818657	13.06950786	N and C under QL	NC_und_QL	
C27SB3	39.12771204	365.0314945	10.88410374	N and C under QL	NC_und_QL	
C28EB1	80.83942667	835.150765	12.05281382	N and C under QL	NC_und_QL	
C28EB2	110.222496	1074.634423	11.37463046	N and C under QL	NC_und_QL	
C28EB3	78.70750976	625.5857639	9.272940537	N and C under QL	NC_und_QL	
C28RB1	19.85597976	257.1401681	15.10864064	N and C under QL	NC_und_QL	
C28RB2	23.33773614	315.8456812	15.78930475	N and C under QL	NC_und_QL	
C28RB3	10.48587354	342.8454822	38.14526222	N and C under QL	NC_und_QL	
C28SB1	81.41981221	631.4150047	9.047562489	N and C under QL	NC_und_QL	
C28SB2	65.51520447	610.0581307	10.86365358	N and C under QL	NC_und_QL	
C28SB3	66.22142062	665.4800757	11.72420366	N and C under QL	NC_und_QL	
C29EB1	235.0802859	2744.455971	13.62030545		OK	
C29EB2	237.5675192	2632.657206	12.92867568		OK	
C29EB3	239.0592491	2584.895531	12.61491226		OK	
C29RB1	137.5444835	1321.578899	11.20977017	N under QL	N_und_QL	
C29RB2	152.8434847	1278.350176	9.75775017	N under QL	N_und_QL	
C29RB3	200.1306362	2361.04254	13.76375792		OK	
C29SB1	173.9594116	1423.614551	9.547535416	N under QL	N_und_QL	
C29SB2	184.9667001	1350.770025	8.519903104		OK	
C29SB3	149.0132448	1482.404939	11.60616582	N under QL	N_und_QL	
C2RB1	64.82350532	555.0075808	9.988797135	N and C under QL	NC_und_QL	
C2RB2	58.89452842	502.8567489	9.961302395	N and C under QL	NC_und_QL	
