root	cluster	season	habitat	substrate_type	field_replicate	over_median
2C18SW2	2C18SW2	18	autumn	sand	water	2	TRUE
2C19EB1	2C19EB1	19	autumn	eelgrass	sediment	1	TRUE
2C19EB2	2C19EB2	19	autumn	eelgrass	sediment	2	TRUE
2C19EW1	2C19EW1	19	autumn	eelgrass	water	1	TRUE
2C19EW2	2C19EW2	19	autumn	eelgrass	water	2	TRUE
2C19RB2	2C19RB2	19	autumn	rocks	sediment	2	TRUE
2C19RW1	2C19RW1	19	autumn	rocks	water	1	TRUE
2C19RW2	2C19RW2	19	autumn	rocks	water	2	TRUE
2C19SB2	2C19SB2	19	autumn	sand	sediment	2	TRUE
2C19SB3	2C19SB3	19	autumn	sand	sediment	3	TRUE
2C19SW1	2C19SW1	19	autumn	sand	water	1	TRUE
2C19SW2	2C19SW2	19	autumn	sand	water	2	TRUE
2C19SW3	2C19SW3	19	autumn	sand	water	3	TRUE
2C1RB2	2C1RB2	1	autumn	rocks	sediment	2	TRUE
2C1RW1	2C1RW1	1	autumn	rocks	water	1	TRUE
2C1RW3	2C1RW3	1	autumn	rocks	water	3	TRUE
2C1SB2	2C1SB2	1	autumn	sand	sediment	2	TRUE
2C1SW2	2C1SW2	1	autumn	sand	water	2	TRUE
2C20EB2	2C20EB2	20	autumn	eelgrass	sediment	2	TRUE
2C20EB3	2C20EB3	20	autumn	eelgrass	sediment	3	TRUE
2C20EW1	2C20EW1	20	autumn	eelgrass	water	1	TRUE
2C20EW2	2C20EW2	20	autumn	eelgrass	water	2	TRUE
2C20RB1	2C20RB1	20	autumn	rocks	sediment	1	TRUE
2C20RB2	2C20RB2	20	autumn	rocks	sediment	2	TRUE
2C20RB3	2C20RB3	20	autumn	rocks	sediment	3	TRUE
2C20RW1	2C20RW1	20	autumn	rocks	water	1	TRUE
2C20RW2	2C20RW2	20	autumn	rocks	water	2	TRUE
2C20SB1	2C20SB1	20	autumn	sand	sediment	1	TRUE
2C20SB2	2C20SB2	20	autumn	sand	sediment	2	TRUE
2C20SB3	2C20SB3	20	autumn	sand	sediment	3	TRUE
2C20SW1	2C20SW1	20	autumn	sand	water	1	TRUE
2C20SW3	2C20SW3	20	autumn	sand	water	3	TRUE
2C21EB1	2C21EB1	21	autumn	eelgrass	sediment	1	TRUE
2C21EW1	2C21EW1	21	autumn	eelgrass	water	1	TRUE
2C21EW3	2C21EW3	21	autumn	eelgrass	water	3	TRUE
2C21RB1	2C21RB1	21	autumn	rocks	sediment	1	TRUE
2C21RB2	2C21RB2	21	autumn	rocks	sediment	2	TRUE
2C21RW2	2C21RW2	21	autumn	rocks	water	2	TRUE
2C21SB1	2C21SB1	21	autumn	sand	sediment	1	TRUE
2C21SB2	2C21SB2	21	autumn	sand	sediment	2	TRUE
2C21SW2	2C21SW2	21	autumn	sand	water	2	TRUE
2C23RB2	2C23RB2	23	autumn	rocks	sediment	2	TRUE
2C23RW2	2C23RW2	23	autumn	rocks	water	2	TRUE
2C23SW1	2C23SW1	23	autumn	sand	water	1	TRUE
2C23SW2	2C23SW2	23	autumn	sand	water	2	TRUE
2C23SW3	2C23SW3	23	autumn	sand	water	3	TRUE
2C24EB2	2C24EB2	24	autumn	eelgrass	sediment	2	TRUE
2C24EW1	2C24EW1	24	autumn	eelgrass	water	1	TRUE
2C24EW2	2C24EW2	24	autumn	eelgrass	water	2	TRUE
2C24RB1	2C24RB1	24	autumn	rocks	sediment	1	TRUE
2C24RB2	2C24RB2	24	autumn	rocks	sediment	2	TRUE
2C24RW1	2C24RW1	24	autumn	rocks	water	1	TRUE
2C24RW2	2C24RW2	24	autumn	rocks	water	2	TRUE
2C24SB2	2C24SB2	24	autumn	sand	sediment	2	TRUE
2C24SW2	2C24SW2	24	autumn	sand	water	2	TRUE
2C25EB2	2C25EB2	25	autumn	eelgrass	sediment	2	TRUE
2C25EW2	2C25EW2	25	autumn	eelgrass	water	2	TRUE
2C25RB3	2C25RB3	25	autumn	rocks	sediment	3	TRUE
2C25RW2	2C25RW2	25	autumn	rocks	water	2	TRUE
2C25SB2	2C25SB2	25	autumn	sand	sediment	2	TRUE
2C25SB3	2C25SB3	25	autumn	sand	sediment	3	TRUE
2C25SW1	2C25SW1	25	autumn	sand	water	1	TRUE
2C25SW3	2C25SW3	25	autumn	sand	water	3	TRUE
2C26EB2	2C26EB2	26	autumn	eelgrass	sediment	2	TRUE
2C26EB3	2C26EB3	26	autumn	eelgrass	sediment	3	TRUE
2C26EW1	2C26EW1	26	autumn	eelgrass	water	1	TRUE
2C26EW3	2C26EW3	26	autumn	eelgrass	water	3	TRUE
2C26RB2	2C26RB2	26	autumn	rocks	sediment	2	TRUE
2C26RB3	2C26RB3	26	autumn	rocks	sediment	3	TRUE
2C26RW2	2C26RW2	26	autumn	rocks	water	2	TRUE
2C26SB2	2C26SB2	26	autumn	sand	sediment	2	TRUE
2C26SB3	2C26SB3	26	autumn	sand	sediment	3	TRUE
2C27EB2	2C27EB2	27	autumn	eelgrass	sediment	2	TRUE
2C27EB3	2C27EB3	27	autumn	eelgrass	sediment	3	TRUE
2C27RB2	2C27RB2	27	autumn	rocks	sediment	2	TRUE
2C27RB3	2C27RB3	27	autumn	rocks	sediment	3	TRUE
2C27RW3	2C27RW3	27	autumn	rocks	water	3	TRUE
2C27SB2	2C27SB2	27	autumn	sand	sediment	2	TRUE
2C27SB3	2C27SB3	27	autumn	sand	sediment	3	TRUE
2C27SW1	2C27SW1	27	autumn	sand	water	1	TRUE
2C27SW3	2C27SW3	27	autumn	sand	water	3	TRUE
2C28EB2	2C28EB2	28	autumn	eelgrass	sediment	2	TRUE
2C28EB3	2C28EB3	28	autumn	eelgrass	sediment	3	TRUE
2C28EW1	2C28EW1	28	autumn	eelgrass	water	1	TRUE
2C28EW3	2C28EW3	28	autumn	eelgrass	water	3	TRUE
2C28RB2	2C28RB2	28	autumn	rocks	sediment	2	TRUE
2C28RB3	2C28RB3	28	autumn	rocks	sediment	3	TRUE
2C28RW3	2C28RW3	28	autumn	rocks	water	3	TRUE
2C28SB2	2C28SB2	28	autumn	sand	sediment	2	TRUE
2C28SB3	2C28SB3	28	autumn	sand	sediment	3	TRUE
2C28SW1	2C28SW1	28	autumn	sand	water	1	TRUE
2C28SW3	2C28SW3	28	autumn	sand	water	3	TRUE
2C29EB3	2C29EB3	29	autumn	eelgrass	sediment	3	TRUE
2C29EW1	2C29EW1	29	autumn	eelgrass	water	1	TRUE
2C29EW3	2C29EW3	29	autumn	eelgrass	water	3	TRUE
2C29RB2	2C29RB2	29	autumn	rocks	sediment	2	TRUE
2C29RB3	2C29RB3	29	autumn	rocks	sediment	3	TRUE
2C29RW1	2C29RW1	29	autumn	rocks	water	1	TRUE
2C29RW3	2C29RW3	29	autumn	rocks	water	3	TRUE
2C29SB2	2C29SB2	29	autumn	sand	sediment	2	TRUE
2C29SB3	2C29SB3	29	autumn	sand	sediment	3	TRUE
2C29SW1	2C29SW1	29	autumn	sand	water	1	TRUE
2C29SW3	2C29SW3	29	autumn	sand	water	3	TRUE
2C30EB2	2C30EB2	30	autumn	eelgrass	sediment	2	TRUE
2C30EB3	2C30EB3	30	autumn	eelgrass	sediment	3	TRUE
2C30EW1	2C30EW1	30	autumn	eelgrass	water	1	TRUE
2C30RB3	2C30RB3	30	autumn	rocks	sediment	3	TRUE
2C30RW1	2C30RW1	30	autumn	rocks	water	1	TRUE
2C30RW3	2C30RW3	30	autumn	rocks	water	3	TRUE
2C30SB1	2C30SB1	30	autumn	sand	sediment	1	TRUE
2C30SB3	2C30SB3	30	autumn	sand	sediment	3	TRUE
2C30SW1	2C30SW1	30	autumn	sand	water	1	TRUE
2C30SW3	2C30SW3	30	autumn	sand	water	3	TRUE
2C31EW1	2C31EW1	31	autumn	eelgrass	water	1	TRUE
2C31EW3	2C31EW3	31	autumn	eelgrass	water	3	TRUE
2C31RB3	2C31RB3	31	autumn	rocks	sediment	3	TRUE
2C31RW1	2C31RW1	31	autumn	rocks	water	1	TRUE
2C31RW2	2C31RW2	31	autumn	rocks	water	2	TRUE
2C31SB2	2C31SB2	31	autumn	sand	sediment	2	TRUE
2C31SB3	2C31SB3	31	autumn	sand	sediment	3	TRUE
2C31SW1	2C31SW1	31	autumn	sand	water	1	TRUE
2C31SW3	2C31SW3	31	autumn	sand	water	3	TRUE
2C32RB3	2C32RB3	32	autumn	rocks	sediment	3	TRUE
2C32RW1	2C32RW1	32	autumn	rocks	water	1	TRUE
2C32RW3	2C32RW3	32	autumn	rocks	water	3	TRUE
2C32SB1	2C32SB1	32	autumn	sand	sediment	1	TRUE
2C32SB3	2C32SB3	32	autumn	sand	sediment	3	TRUE
2C32SW3	2C32SW3	32	autumn	sand	water	3	TRUE
2C33RB3	2C33RB3	33	autumn	rocks	sediment	3	TRUE
2C33RW2	2C33RW2	33	autumn	rocks	water	2	TRUE
2C33RW3	2C33RW3	33	autumn	rocks	water	3	TRUE
2C33SB3	2C33SB3	33	autumn	sand	sediment	3	TRUE
2C33SW1	2C33SW1	33	autumn	sand	water	1	TRUE
2C33SW3	2C33SW3	33	autumn	sand	water	3	TRUE
2C3RW2	2C3RW2	3	autumn	rocks	water	2	TRUE
2C3SW1	2C3SW1	3	autumn	sand	water	1	TRUE
2C3SW2	2C3SW2	3	autumn	sand	water	2	TRUE
2C4RB1	2C4RB1	4	autumn	rocks	sediment	1	TRUE
2C4RW1	2C4RW1	4	autumn	rocks	water	1	TRUE
2C4RW2	2C4RW2	4	autumn	rocks	water	2	TRUE
2C4RW3	2C4RW3	4	autumn	rocks	water	3	TRUE
2C4SW2	2C4SW2	4	autumn	sand	water	2	TRUE
2C5RW2	2C5RW2	5	autumn	rocks	water	2	TRUE
2C5SB3	2C5SB3	5	autumn	sand	sediment	3	TRUE
2C5SW3	2C5SW3	5	autumn	sand	water	3	TRUE
2C6RB2	2C6RB2	6	autumn	rocks	sediment	2	TRUE
2C6RB3	2C6RB3	6	autumn	rocks	sediment	3	TRUE
2C6RW2	2C6RW2	6	autumn	rocks	water	2	TRUE
2C6SB3	2C6SB3	6	autumn	sand	sediment	3	TRUE
2C6SW2	2C6SW2	6	autumn	sand	water	2	TRUE
2C7RB2	2C7RB2	7	autumn	rocks	sediment	2	TRUE
2C7RW3	2C7RW3	7	autumn	rocks	water	3	TRUE
2C7SB3	2C7SB3	7	autumn	sand	sediment	3	TRUE
2C7SW3	2C7SW3	7	autumn	sand	water	3	TRUE
2C8EB3	2C8EB3	8	autumn	eelgrass	sediment	3	TRUE
2C8EW2	2C8EW2	8	autumn	eelgrass	water	2	TRUE
2C8RB2	2C8RB2	8	autumn	rocks	sediment	2	TRUE
2C8RB3	2C8RB3	8	autumn	rocks	sediment	3	TRUE
2C8RW2	2C8RW2	8	autumn	rocks	water	2	TRUE
2C8RW3	2C8RW3	8	autumn	rocks	water	3	TRUE
2C8SB2	2C8SB2	8	autumn	sand	sediment	2	TRUE
2C8SB3	2C8SB3	8	autumn	sand	sediment	3	TRUE
2C8SW1	2C8SW1	8	autumn	sand	water	1	TRUE
2C8SW2	2C8SW2	8	autumn	sand	water	2	TRUE
2C8SW3	2C8SW3	8	autumn	sand	water	3	TRUE
2C9EB2	2C9EB2	9	autumn	eelgrass	sediment	2	TRUE
2C9EB3	2C9EB3	9	autumn	eelgrass	sediment	3	TRUE
2C9EW2	2C9EW2	9	autumn	eelgrass	water	2	TRUE
2C9EW3	2C9EW3	9	autumn	eelgrass	water	3	TRUE
2C9RB2	2C9RB2	9	autumn	rocks	sediment	2	TRUE
2C9RB3	2C9RB3	9	autumn	rocks	sediment	3	TRUE
2C9RW2	2C9RW2	9	autumn	rocks	water	2	TRUE
2C9RW3	2C9RW3	9	autumn	rocks	water	3	TRUE
2C9SB2	2C9SB2	9	autumn	sand	sediment	2	TRUE
2C9SB3	2C9SB3	9	autumn	sand	sediment	3	TRUE
2C9SW2	2C9SW2	9	autumn	sand	water	2	TRUE
2C9SW3	2C9SW3	9	autumn	sand	water	3	TRUE
C10EW1	C10EW1	10	spring	eelgrass	water	1	TRUE
C10EW3	C10EW3	10	spring	eelgrass	water	3	TRUE
C10RB1	C10RB1	10	spring	rocks	sediment	1	TRUE
C10RB3	C10RB3	10	spring	rocks	sediment	3	TRUE
C10RW1	C10RW1	10	spring	rocks	water	1	TRUE
C10RW3	C10RW3	10	spring	rocks	water	3	TRUE
C10SB1	C10SB1	10	spring	sand	sediment	1	TRUE
C10SB3	C10SB3	10	spring	sand	sediment	3	TRUE
C11RB3	C11RB3	11	spring	rocks	sediment	3	TRUE
C11SB1	C11SB1	11	spring	sand	sediment	1	TRUE
C11SW1	C11SW1	11	spring	sand	water	1	TRUE
C11SW2	C11SW2	11	spring	sand	water	2	TRUE
C12RB3	C12RB3	12	spring	rocks	sediment	3	TRUE
C12RW3	C12RW3	12	spring	rocks	water	3	TRUE
C12SB3	C12SB3	12	spring	sand	sediment	3	TRUE
C12SW1	C12SW1	12	spring	sand	water	1	TRUE
C12SW2	C12SW2	12	spring	sand	water	2	TRUE
C13SB1	C13SB1	13	spring	sand	sediment	1	TRUE
C13SB2	C13SB2	13	spring	sand	sediment	2	TRUE
C13SW1	C13SW1	13	spring	sand	water	1	TRUE
C14RB1	C14RB1	14	spring	rocks	sediment	1	TRUE
C14RB3	C14RB3	14	spring	rocks	sediment	3	TRUE
C14RW1	C14RW1	14	spring	rocks	water	1	TRUE
C14RW3	C14RW3	14	spring	rocks	water	3	TRUE
C14SB1	C14SB1	14	spring	sand	sediment	1	TRUE
C14SW1	C14SW1	14	spring	sand	water	1	TRUE
C14SW3	C14SW3	14	spring	sand	water	3	TRUE
C15RB1	C15RB1	15	spring	rocks	sediment	1	TRUE
C15RB3	C15RB3	15	spring	rocks	sediment	3	TRUE
C15RW2	C15RW2	15	spring	rocks	water	2	TRUE
C15RW3	C15RW3	15	spring	rocks	water	3	TRUE
C15SB1	C15SB1	15	spring	sand	sediment	1	TRUE
C15SB2	C15SB2	15	spring	sand	sediment	2	TRUE
C15SW1	C15SW1	15	spring	sand	water	1	TRUE
C15SW2	C15SW2	15	spring	sand	water	2	TRUE
C15SW3	C15SW3	15	spring	sand	water	3	TRUE
C16EB1	C16EB1	16	spring	eelgrass	sediment	1	TRUE
C16EW1	C16EW1	16	spring	eelgrass	water	1	TRUE
C16EW2	C16EW2	16	spring	eelgrass	water	2	TRUE
C16RB3	C16RB3	16	spring	rocks	sediment	3	TRUE
C16RW3	C16RW3	16	spring	rocks	water	3	TRUE
C16SB1	C16SB1	16	spring	sand	sediment	1	TRUE
C16SB3	C16SB3	16	spring	sand	sediment	3	TRUE
C16SW2	C16SW2	16	spring	sand	water	2	TRUE
C16SW3	C16SW3	16	spring	sand	water	3	TRUE
C17EB3	C17EB3	17	spring	eelgrass	sediment	3	TRUE
C17EW1	C17EW1	17	spring	eelgrass	water	1	TRUE
C17EW2	C17EW2	17	spring	eelgrass	water	2	TRUE
C17EW3	C17EW3	17	spring	eelgrass	water	3	TRUE
C17RB1	C17RB1	17	spring	rocks	sediment	1	TRUE
C17RB3	C17RB3	17	spring	rocks	sediment	3	TRUE
C17RW1	C17RW1	17	spring	rocks	water	1	TRUE
C17SB1	C17SB1	17	spring	sand	sediment	1	TRUE
C17SB3	C17SB3	17	spring	sand	sediment	3	TRUE
C17SW3	C17SW3	17	spring	sand	water	3	TRUE
C18RW1	C18RW1	18	spring	rocks	water	1	TRUE
C18RW3	C18RW3	18	spring	rocks	water	3	TRUE
C18SB2	C18SB2	18	spring	sand	sediment	2	TRUE
C18SB3	C18SB3	18	spring	sand	sediment	3	TRUE
C18SW1	C18SW1	18	spring	sand	water	1	TRUE
C18SW3	C18SW3	18	spring	sand	water	3	TRUE
C19EB1	C19EB1	19	spring	eelgrass	sediment	1	TRUE
C19EB2	C19EB2	19	spring	eelgrass	sediment	2	TRUE
C19EB3	C19EB3	19	spring	eelgrass	sediment	3	TRUE
C19EW1	C19EW1	19	spring	eelgrass	water	1	TRUE
C19EW2	C19EW2	19	spring	eelgrass	water	2	TRUE
C19EW3	C19EW3	19	spring	eelgrass	water	3	TRUE
C19RB1	C19RB1	19	spring	rocks	sediment	1	TRUE
C19RB2	C19RB2	19	spring	rocks	sediment	2	TRUE
C19RB3	C19RB3	19	spring	rocks	sediment	3	TRUE
C19RW1	C19RW1	19	spring	rocks	water	1	TRUE
C19RW2	C19RW2	19	spring	rocks	water	2	TRUE
C19RW3	C19RW3	19	spring	rocks	water	3	TRUE
C19SB1	C19SB1	19	spring	sand	sediment	1	TRUE
C19SW1	C19SW1	19	spring	sand	water	1	TRUE
C19SW3	C19SW3	19	spring	sand	water	3	TRUE
C1RB2	C1RB2	1	spring	rocks	sediment	2	TRUE
C1RW1	C1RW1	1	spring	rocks	water	1	TRUE
C1RW2	C1RW2	1	spring	rocks	water	2	TRUE
C1RW3	C1RW3	1	spring	rocks	water	3	TRUE
C1SB2	C1SB2	1	spring	sand	sediment	2	TRUE
C1SW2	C1SW2	1	spring	sand	water	2	TRUE
C1SW3	C1SW3	1	spring	sand	water	3	TRUE
C20RB3	C20RB3	20	spring	rocks	sediment	3	TRUE
C20RW2	C20RW2	20	spring	rocks	water	2	TRUE
C20SB1	C20SB1	20	spring	sand	sediment	1	TRUE
C20SB2	C20SB2	20	spring	sand	sediment	2	TRUE
C20SB3	C20SB3	20	spring	sand	sediment	3	TRUE
C20SW2	C20SW2	20	spring	sand	water	2	TRUE
C20SW3	C20SW3	20	spring	sand	water	3	TRUE
C21EB1	C21EB1	21	spring	eelgrass	sediment	1	TRUE
C21EB2	C21EB2	21	spring	eelgrass	sediment	2	TRUE
C21EB3	C21EB3	21	spring	eelgrass	sediment	3	TRUE
C21EW1	C21EW1	21	spring	eelgrass	water	1	TRUE
C21EW3	C21EW3	21	spring	eelgrass	water	3	TRUE
C21RB2	C21RB2	21	spring	rocks	sediment	2	TRUE
C21RB3	C21RB3	21	spring	rocks	sediment	3	TRUE
C21SB1	C21SB1	21	spring	sand	sediment	1	TRUE
C21SB3	C21SB3	21	spring	sand	sediment	3	TRUE
C21SW2	C21SW2	21	spring	sand	water	2	TRUE
C21SW3	C21SW3	21	spring	sand	water	3	TRUE
C23RB1	C23RB1	23	spring	rocks	sediment	1	TRUE
C23RB2	C23RB2	23	spring	rocks	sediment	2	TRUE
C23RW3	C23RW3	23	spring	rocks	water	3	TRUE
C23SB2	C23SB2	23	spring	sand	sediment	2	TRUE
C23SW1	C23SW1	23	spring	sand	water	1	TRUE
C23SW3	C23SW3	23	spring	sand	water	3	TRUE
C24EB2	C24EB2	24	spring	eelgrass	sediment	2	TRUE
C24EB3	C24EB3	24	spring	eelgrass	sediment	3	TRUE
C24EW2	C24EW2	24	spring	eelgrass	water	2	TRUE
C24EW3	C24EW3	24	spring	eelgrass	water	3	TRUE
C24RB1	C24RB1	24	spring	rocks	sediment	1	TRUE
C24RB2	C24RB2	24	spring	rocks	sediment	2	TRUE
C24RB3	C24RB3	24	spring	rocks	sediment	3	TRUE
C24RW2	C24RW2	24	spring	rocks	water	2	TRUE
C24RW3	C24RW3	24	spring	rocks	water	3	TRUE
C24SB1	C24SB1	24	spring	sand	sediment	1	TRUE
C24SB2	C24SB2	24	spring	sand	sediment	2	TRUE
C24SB3	C24SB3	24	spring	sand	sediment	3	TRUE
C24SW1	C24SW1	24	spring	sand	water	1	TRUE
C24SW3	C24SW3	24	spring	sand	water	3	TRUE
C25EW2	C25EW2	25	spring	eelgrass	water	2	TRUE
C25EW3	C25EW3	25	spring	eelgrass	water	3	TRUE
C25RW2	C25RW2	25	spring	rocks	water	2	TRUE
C25RW3	C25RW3	25	spring	rocks	water	3	TRUE
C25SW2	C25SW2	25	spring	sand	water	2	TRUE
C25SW3	C25SW3	25	spring	sand	water	3	TRUE
C26EB3	C26EB3	26	spring	eelgrass	sediment	3	TRUE
C26RB2	C26RB2	26	spring	rocks	sediment	2	TRUE
C26RB3	C26RB3	26	spring	rocks	sediment	3	TRUE
C26RW3	C26RW3	26	spring	rocks	water	3	TRUE
C26SB2	C26SB2	26	spring	sand	sediment	2	TRUE
C26SB3	C26SB3	26	spring	sand	sediment	3	TRUE
C26SW2	C26SW2	26	spring	sand	water	2	TRUE
C26SW3	C26SW3	26	spring	sand	water	3	TRUE
C27EB3	C27EB3	27	spring	eelgrass	sediment	3	TRUE
C27EW1	C27EW1	27	spring	eelgrass	water	1	TRUE
C27EW3	C27EW3	27	spring	eelgrass	water	3	TRUE
C27RB1	C27RB1	27	spring	rocks	sediment	1	TRUE
C27RW3	C27RW3	27	spring	rocks	water	3	TRUE
C27SB3	C27SB3	27	spring	sand	sediment	3	TRUE
C27SW1	C27SW1	27	spring	sand	water	1	TRUE
C27SW3	C27SW3	27	spring	sand	water	3	TRUE
C28EB2	C28EB2	28	spring	eelgrass	sediment	2	TRUE
C28EW3	C28EW3	28	spring	eelgrass	water	3	TRUE
C28RB3	C28RB3	28	spring	rocks	sediment	3	TRUE
C28SB2	C28SB2	28	spring	sand	sediment	2	TRUE
C28SB3	C28SB3	28	spring	sand	sediment	3	TRUE
C28SW2	C28SW2	28	spring	sand	water	2	TRUE
C28SW3	C28SW3	28	spring	sand	water	3	TRUE
C29EB2	C29EB2	29	spring	eelgrass	sediment	2	TRUE
C29EB3	C29EB3	29	spring	eelgrass	sediment	3	TRUE
C29EW1	C29EW1	29	spring	eelgrass	water	1	TRUE
C29EW2	C29EW2	29	spring	eelgrass	water	2	TRUE
C29EW3	C29EW3	29	spring	eelgrass	water	3	TRUE
C29RB2	C29RB2	29	spring	rocks	sediment	2	TRUE
C29RB3	C29RB3	29	spring	rocks	sediment	3	TRUE
C29RW1	C29RW1	29	spring	rocks	water	1	TRUE
C29RW2	C29RW2	29	spring	rocks	water	2	TRUE
C29RW3	C29RW3	29	spring	rocks	water	3	TRUE
C29SB2	C29SB2	29	spring	sand	sediment	2	TRUE
C29SB3	C29SB3	29	spring	sand	sediment	3	TRUE
C2RB2	C2RB2	2	spring	rocks	sediment	2	TRUE
C2RW3	C2RW3	2	spring	rocks	water	3	TRUE
C30EB1	C30EB1	30	spring	eelgrass	sediment	1	TRUE
C30EB3	C30EB3	30	spring	eelgrass	sediment	3	TRUE
C30EW1	C30EW1	30	spring	eelgrass	water	1	TRUE
C30RB3	C30RB3	30	spring	rocks	sediment	3	TRUE
C30RW1	C30RW1	30	spring	rocks	water	1	TRUE
C30RW3	C30RW3	30	spring	rocks	water	3	TRUE
C30SB2	C30SB2	30	spring	sand	sediment	2	TRUE
C30SB3	C30SB3	30	spring	sand	sediment	3	TRUE
C30SW1	C30SW1	30	spring	sand	water	1	TRUE
C30SW2	C30SW2	30	spring	sand	water	2	TRUE
C30SW3	C30SW3	30	spring	sand	water	3	TRUE
C31EB1	C31EB1	31	spring	eelgrass	sediment	1	TRUE
C31EB3	C31EB3	31	spring	eelgrass	sediment	3	TRUE
C31EW1	C31EW1	31	spring	eelgrass	water	1	TRUE
C31EW2	C31EW2	31	spring	eelgrass	water	2	TRUE
C31EW3	C31EW3	31	spring	eelgrass	water	3	TRUE
C31RB3	C31RB3	31	spring	rocks	sediment	3	TRUE
C31RW1	C31RW1	31	spring	rocks	water	1	TRUE
C31SB3	C31SB3	31	spring	sand	sediment	3	TRUE
C31SW1	C31SW1	31	spring	sand	water	1	TRUE
C31SW2	C31SW2	31	spring	sand	water	2	TRUE
C31SW3	C31SW3	31	spring	sand	water	3	TRUE
C32RB1	C32RB1	32	spring	rocks	sediment	1	TRUE
C32RW3	C32RW3	32	spring	rocks	water	3	TRUE
C32SB1	C32SB1	32	spring	sand	sediment	1	TRUE
C32SW2	C32SW2	32	spring	sand	water	2	TRUE
C32SW3	C32SW3	32	spring	sand	water	3	TRUE
C33RB1	C33RB1	33	spring	rocks	sediment	1	TRUE
C33RB3	C33RB3	33	spring	rocks	sediment	3	TRUE
