Sample_ID	season	cluster	habitat	NO2NO3	NO2	NH3	PO4	Si	NO3	Chlorophyll	Latitude	Longitude	Salinity	Temperature	CTD_depth	d18O	SD_d18O	d12H	SD_d12H	sal_group	snch	Time	log_NO2NO3	log_NO2	log_NH3	log_PO4	log_Si	log_NO3	log_Chlorophyll	hab_uni	shc	log_DN	DN
autumn_24_sand	2C24SW	autumn	24	SW	0.25	0.005	1.685	0.005	3.705	0.265	1.104444031	55.135901	12.10739352	10.34501222	10.84817219	45.09439468	-4.916899864	0.034455769	-37.23097386	0.053914748	1	autumn_24_sand	10-10-19	-1.38629436111989	-5.29831736654804	0.521765563804325	-5.29831736654804	1.30968325874805	-1.32802545299591	0.0993420689861168	sand	autumn_24_sand	0.660107326481745	1.935
autumn_25_eelgrass	2C25EW	autumn	25	EW	1.975	0.055	0.68	0.22	9.16	1.92	1.412797428	55.56489727	12.28239716	11.01270833	13.23527145	99.71990585	-5.003123362	0.021153408	-37.74321256	0.046379593	1	autumn_25_eelgrass	03-10-19	0.680568398353085	-2.90042209374967	-0.385662480811985	-1.51412773262978	2.21484617868604	0.65232518603969	0.3455717303676	eelgrass	autumn_25_eelgrass	0.976444654693902	2.655
autumn_25_rocks	2C25RW	autumn	25	RW	1.195	0.09	1.925	0.735	12.5	1.105	1.541527486	55.56748637	12.28656134	11.48047651	13.93920994	88.93280029	-5.077609152	0.017084106	-38.08636148	0.044816292	1	autumn_25_rocks	03-10-19	0.178146185383474	-2.40794560865187	0.654925967739748	-0.3078847797693	2.52572864430826	0.0998453349697161	0.432773798869501	rocks	autumn_25_rocks	1.13783300182139	3.12
autumn_25_sand	2C25SW	autumn	25	SW	1.385	0.185	2.475	0.6	17.9	1.2	0.84249333	55.56931596	12.28888679	11.48569882	13.91094685	104.7979355	-4.946348637	0.016975473	-37.43953916	0.05375686	1	autumn_25_sand	03-10-19	0.325700139639302	-1.68739945390381	0.906240396020654	-0.510825623765991	2.88480071284671	0.182321556793955	-0.171389533700906	sand	autumn_25_sand	1.35066718347674	3.86
autumn_26_eelgrass	2C26EW	autumn	26	EW	1.61	0.025	0.235	0.335	6.005	1.585	2.499518622	55.74929873	12.59476462	17.44999892	14.17746925	99.87468719	-3.627619097	0.036571391	-26.44543642	0.185769391	2	autumn_26_eelgrass	02-10-19	0.476234178996372	-3.68887945411394	-1.44816976483798	-1.09362474715707	1.79259245553195	0.460584407329244	0.916098162133793	eelgrass	autumn_26_eelgrass	0.612479277492491	1.845
autumn_26_rocks	2C26RW	autumn	26	RW	1.13	0.03	0.59	0.275	4.665	1.1	1.357413565	55.75903234	12.60278652	18.09406033	14.03590584	89.88018036	-3.377015793	0.006271629	-25.08306148	0.062759063	2	autumn_26_rocks	02-10-19	0.122217632724249	-3.50655789731998	-0.527632742082372	-1.29098418131557	1.54008783429931	0.0953101798043249	0.305581098607265	rocks	autumn_26_rocks	0.542324290825361	1.72
autumn_26_sand	2C26SW	autumn	26	SW	0.35	0.015	0.175	0.36	5.165	0.335	2.903671133	55.75146986	12.59356584	17.85499409	14.3802433	100.084877	-3.677441814	0.007943551	-26.58329919	0.029953297	2	autumn_26_sand	02-10-19	-1.04982212449868	-4.19970507787993	-1.74296930505862	-1.02165124753198	1.6419051025716	-1.09362474715707	1.06597584433759	sand	autumn_26_sand	-0.644357016390513	0.525
autumn_27_eelgrass	2C27EW	autumn	27	EW	0.945	0.075	1.01	0.29	5.51	0.87	1.721135856	56.04229589	12.61937113	19.22930972	12.77262783	96.17471695	-3.418231263	0.011536897	-24.19419184	0.043440381	2	autumn_27_eelgrass	16-10-19	-0.0565703514883944	-2.59026716544583	0.00995033085316809	-1.23787435600162	1.70656462316482	-0.139262067333508	0.542984454264868	eelgrass	autumn_27_eelgrass	0.670390193437329	1.955
autumn_27_rocks	2C27RW	autumn	27	RW	1.005	0.07	3.035	0.71	5.43	0.935	3.143153948	56.0411843	12.6181348	18.60456674	12.78512383	47.79176712	-3.437200311	0.015820872	-24.33319396	0.021835751	2	autumn_27_rocks	16-10-19	0.00498754151103897	-2.65926003693278	1.11021142451146	-0.342490308946776	1.69193913394584	-0.06720874969345	1.14522673784402	rocks	autumn_27_rocks	1.39624469197306	4.04
autumn_27_sand	2C27SW	autumn	27	SW	0.72	0.055	0.51	0.28	4.18	0.665	2.813844495	56.04450606	12.60919503	20.56559768	12.82640076	93.58301163	-3.03413287	0.004349329	-21.25933026	0.153443149	2	autumn_27_sand	16-10-19	-0.328504066972036	-2.90042209374967	-0.673344553263766	-1.27296567581289	1.43031124653666	-0.407968238326283	1.03455169597121	sand	autumn_27_sand	0.207014169384326	1.23
autumn_28_eelgrass	2C28EW	autumn	28	EW	0.195	0.005	0.935	0.2	2.76	0.2	1.156819202	55.95139329	11.8471504	19.16525512	12.77928925	98.86760712	-3.26782286	0.013352902	-23.71365697	0.078093961	2	autumn_28_eelgrass	01-10-19	-1.63475572041839	-5.29831736654804	-0.06720874969345	-1.6094379124341	1.01523067972906	-1.6094379124341	0.145674171523878	eelgrass	autumn_28_eelgrass	0.122217632724249	1.13
autumn_28_rocks	2C28RW	autumn	28	RW	0.67	0.015	3.91	0.25	4.115	0.655	1.810947525	55.96726649	11.8442571	19.17607607	13.36939621	27.96449661	-3.125622745	0.035571993	-23.13981448	0.09088821	2	autumn_28_rocks	01-10-19	-0.400477566597125	-4.19970507787993	1.36353737399727	-1.38629436111989	1.41463883412903	-0.423120043346885	0.593850202777442	rocks	autumn_28_rocks	1.52169899812609	4.58
autumn_28_sand	2C28SW	autumn	28	SW	0.255	0.005	0.795	0.19	3.4	0.255	1.601386964	55.96898158	11.84613189	18.30380049	13.54317856	104.1571617	-2.997469309	0.060825707	-22.03175044	0.159833246	2	autumn_28_sand	01-10-19	-1.36649173382371	-5.29831736654804	-0.229413164327805	-1.66073120682165	1.22377543162212	-1.36649173382371	0.470870106246093	sand	autumn_28_sand	0.048790164169432	1.05
autumn_29_eelgrass	2C29EW	autumn	29	EW	4.015	0.52	2.685	5.44	14.995	3.495	3.876615912	55.68531813	12.07090738	14.5029316	14.19524384	74.12033081	-2.722783005	0.019072668	-22.41858893	0.057122383	1	autumn_29_eelgrass	30-09-19	1.39003734739872	-0.653926467406664	0.987680727960828	1.69377906086785	2.70771681220097	1.25133337568577	1.35496258542938	eelgrass	autumn_29_eelgrass	1.90210752639692	6.7
autumn_29_rocks	2C29RW	autumn	29	RW	3.24	0.425	2.44	5.035	14.25	2.815	5.074104831	55.67983516	12.06896049	14.46906247	13.79972839	22.57242203	-2.668751587	0.019896398	-22.29540808	0.06161304	1	autumn_29_rocks	30-09-19	1.17557332980424	-0.85566611005772	0.89199803930511	1.61641352617053	2.65675690671466	1.03496226159165	1.62415012138937	rocks	autumn_29_rocks	1.73695123273306	5.68
autumn_29_sand	2C29SW	autumn	29	SW	3.755	0.51	2.525	4.91	15.35	3.245	8.215223048	55.68356509	12.07310664	14.56012987	14.06117219	85.0262666	-2.743106749	0.024711671	-22.57081242	0.04603658	1	autumn_29_sand	30-09-19	1.3230882852161	-0.673344553263766	0.926241062727323	1.59127394180643	2.73111547403321	1.17711535015605	2.10598890242922	sand	autumn_29_sand	1.83736998048011	6.28
autumn_30_eelgrass	2C30EW	autumn	30	EW	0.33	0.005	1.085	0.21	1.785	0.34	0.806553693	55.75904756	11.31756065	20.59974741	11.36923409	88.2935524	-2.91278512	0.069320752	-20.96863373	0.144091638	2	autumn_30_eelgrass	09-10-19	-1.10866262452161	-5.29831736654804	0.0815799869924228	-1.56064774826467	0.579418415231602	-1.07880966137193	-0.214984808307432	eelgrass	autumn_30_eelgrass	0.347129531095201	1.415
autumn_30_rocks	2C30RW	autumn	30	RW	0.365	0.005	0.56	0.26	2.045	0.37	1.305008456	55.75466545	11.32239182	20.59251327	12.26506233	101.3545036	-2.618995072	0.044140684	-20.00079303	0.137258637	2	autumn_30_rocks	09-10-19	-1.00785792539965	-5.29831736654804	-0.579818495252942	-1.34707364796661	0.715397789494765	-0.994252273343867	0.26620952044715	rocks	autumn_30_rocks	-0.0779615414697118	0.925
autumn_30_sand	2C30SW	autumn	30	SW	0.25	0.005	5.64	0.225	1.475	0.255	1.363386041	55.75885483	11.34937786	20.57601437	11.32012463	94.74573135	-2.893617522	0.062767561	-21.1507227	0.133278155	2	autumn_30_sand	09-10-19	-1.38629436111989	-5.29831736654804	1.72988406550997	-1.49165487677772	0.388657989791783	-1.36649173382371	0.309971341519484	sand	autumn_30_sand	1.7732559976635	5.89
autumn_31_eelgrass	2C31EW	autumn	31	EW	0.33	0.005	0.67	0.105	4.815	0.36	1.870821971	55.34659324	11.10107746	14.62589578	12.06023502	98.97518158	-4.310513547	0.064543525	-31.51527771	0.129954992	1	autumn_31_eelgrass	08-10-19	-1.10866262452161	-5.29831736654804	-0.400477566597125	-2.25379492882461	1.57173604525009	-1.02165124753198	0.626377890974247	eelgrass	autumn_31_eelgrass	0	1
autumn_31_rocks	2C31RW	autumn	31	RW	0.52	0.005	1.215	0.105	5.29	0.545	2.424660596	55.32808218	11.12842404	13.91311981	12.43216896	28.12356949	-4.437677396	0.016164777	-32.60637963	0.036228442	1	autumn_31_rocks	08-10-19	-0.653926467406664	-5.29831736654804	0.194744076792512	-2.25379492882461	1.66581824587021	-0.606969484318893	0.885691554181703	rocks	autumn_31_rocks	0.551007413398823	1.735
autumn_31_sand	2C31SW	autumn	31	SW	0.37	0.005	0.685	0.115	5.36	0.395	2.170194201	55.3475465	11.10117661	14.54016914	12.47414112	100.6666183	-4.345476996	0.025481366	-32.05376831	0.051997115	1	autumn_31_sand	08-10-19	-0.994252273343867	-5.29831736654804	-0.378336440719912	-2.16282315061889	1.67896397508271	-0.928869514081015	0.774816657096447	sand	autumn_31_sand	0.05354076692803	1.055
autumn_32_rocks	2C32RW	autumn	32	RW	0.18	0.005	0.755	0.14	8.415	0.205	3.502400624	55.2521937	14.8263621	7.773209631	12.97750854	90.46506882	-5.935752138	0.04928962	-44.26733318	0.069314982	1	autumn_32_rocks	14-10-19	-1.71479842809193	-5.29831736654804	-0.281037529733112	-1.96611285637283	2.13001582764277	-1.58474529984373	1.25344862594999	rocks	autumn_32_rocks	-0.06720874969345	0.935
autumn_32_sand	2C32SW	autumn	32	SW	0.335	0.005	0.485	0.195	9.675	0.35	1.795978913	55.2571398	14.8194941	7.764268105	12.98147392	31.45647049	-6.038857962	0.053391635	-44.65546969	0.057160301	1	autumn_32_sand	14-10-19	-1.09362474715707	-5.29831736654804	-0.723606388044654	-1.63475572041839	2.26954523891585	-1.04982212449868	0.585550228719767	sand	autumn_32_sand	-0.198450938723838	0.82
autumn_33_rocks	2C33RW	autumn	33	RW	5.37	0.125	0.41	0.195	10	5.245	4.011333415	55.02243003	14.90372037	7.642738844	13.25653839	67.93737411	-6.185748242	0.057020756	-45.62643168	0.098278685	1	autumn_33_rocks	15-10-19	1.68082790852077	-2.07944154167984	-0.891598119283784	-1.63475572041839	2.30258509299405	1.65727524184826	1.38912370848903	rocks	autumn_33_rocks	1.75440368268429	5.78
autumn_33_sand	2C33SW	autumn	33	SW	1.45	0.045	0.795	0.175	10.325	1.405	NA	55.02055438	14.91194958	7.713237434	12.58662796	99.71923828	-6.052573642	0.11384507	-44.52165356	0.121773013	1	autumn_33_sand	15-10-19	0.371563556432483	-3.10109278921182	-0.229413164327805	-1.74296930505862	2.3345681388471	0.340037302785709	NA	sand	autumn_33_sand	0.808705521194218	2.245
autumn_3_rocks	2C3RW	autumn	3	RW	3.255	0.51	5.58	0.805	9.135	2.745	1.101599995	55.9967104	8.1173628	32.22219519	15.4725914	75.65765381	-0.051864866	0.102959701	0.731899878	0.261120406	3	autumn_3_rocks	24-09-19	1.18019227566053	-0.673344553263766	1.71918877639322	-0.216913001563574	2.21211318982997	1.00978107496149	0.0967636638934554	rocks	autumn_3_rocks	2.17872110577166	8.835
