	cube_d14N_15N	d12C_13C	log_N	log_C	log_CN_ratio	log_NP_ratio	Dry_matter	Grain_size	Water_content	log_Organic_content	log_Inorganic_content	log_TP	Organic_content	Inorganic_content	C	N	log_PO4	log_Si	log_Chlorophyll	Salinity	Temperature	log_NO2	log_NO3	log_NH3	log_DN	Time	Latitude	Longitude	NO2	NO3	NH3	DN	PO4	Si	season	habitat	sal_group	cluster
autumn_13_sand	9148.70353	-24.54489748	6.447644955	7.324506486	1.03101221	6.897742315	0.793690884	2	0.37759697	-4.587035868	-4.475759578	-0.45009736	0.01018773	0.011392583	1519.055777	635.0520782	-0.916290732	2.225704049	0.442514136	27.41535732	13.04090214	-1.448169765	0.772420361	-1.931021537	0.93413065	17/10/2019	56.44816462	10.95508786	0.235	2.165	0.145	2.545	0.4	9.26	autumn	sand	3	13
autumn_14_rocks	NA	-29.37874015	NA	6.212783962	NA	NA	0.817965996	2	0.357224621	-4.909732222	-5.121526633	-1.109135871	0.007622288	0.006340324	501.737009	NA	-1.064210862	2.090010493	-0.27603173	27.10616722	15.42168236	-2.162823151	0.186479567	-2.120263536	0.364643114	12/09/2019	56.1388617	10.219473	0.115	1.205	0.12	1.44	0.345	8.085	autumn	rocks	3	14
autumn_14_sand	27135.13581	-24.0264678	4.737907722	6.92040637	2.336649328	5.042114484	0.811465761	2	0.357120909	-4.786516637	-4.744936027	-0.304206762	0.008347932	0.008697177	1014.209869	114.3406526	-1.366491734	2.137120653	0.159922045	26.73888949	15.50922108	-3.506557897	-0.363843433	-1.687399454	-0.094310679	12/09/2019	56.12285239	10.22345435	0.03	0.695	0.185	0.91	0.255	8.475	autumn	sand	3	14
autumn_15_rocks	39022.48441	-23.6344868	5.821036286	8.351017435	2.684131829	6.569671843	0.80354985	1	0.362658333	-3.964334955	-4.717918124	-0.748635557	0.018985725	0.008986489	4235.254585	338.3467272	-0.046043939	2.277779974	0.066385981	28.81402122	12.93408966	-3.218875825	0.512823626	-2.995732274	0.565313809	19/09/2019	55.7030775	9.6995034	0.04	1.67	0.05	1.76	0.955	9.755	autumn	rocks	3	15
autumn_15_sand	37955.8416	-21.16191954	5.663121095	7.831056488	2.322086073	6.837489206	0.800198249	2	0.364085152	-4.73512315	-5.349508683	-1.17436811	0.00894792	0.004757913	2545.980225	290.3712316	0	2.326789782	1.804356259	28.90309459	12.94756222	-4.199705078	-1.801809805	0.076961041	0.231111721	19/09/2019	55.70038092	9.710981	0.015	0.165	1.08	1.26	1	10.245	autumn	sand	3	15
autumn_16_eelgrass	33204.58779	-20.80719585	4.824315638	7.151301689	2.48113673	5.469304133	0.815662428	2	0.334995758	-5.345838003	-5.731857173	-0.644988494	0.004885479	0.003460844	1276.624917	124.5130599	-1.064210862	1.920592341	0.228921719	22.0976984	12.66548824	-4.605170186	-1.406497068	-0.809680997	-0.356674944	18/09/2019	55.5021309	10.61310246	0.01	0.245	0.445	0.7	0.345	6.825	autumn	eelgrass	2	16
autumn_16_rocks	34444.15521	-17.57860987	7.544792038	9.715014159	2.324372801	7.227602676	0.498291488	1	0.728856313	-2.844762918	-4.004793755	0.317189362	0.064298263	0.020096157	18790.25414	2183.18098	-0.407968238	2.047692843	0.979938768	21.88548944	12.49409676	-2.995732274	-0.046043939	0.457424847	0.949725508	18/09/2019	55.48628704	10.59840165	0.05	0.955	1.58	2.585	0.665	7.75	autumn	rocks	2	16
autumn_16_sand	27325.28717	-17.40644965	5.772193681	7.903359525	2.285316524	6.599242536	0.797277124	2	0.374543507	-4.953064282	-5.807592157	-0.827048855	0.007067293	0.003013211	2713.732629	321.5036063	-1.021651248	2.019558832	0.516627603	22.11475489	12.94719028	-3.506557897	-1.139434283	-0.562118918	-0.083381609	18/09/2019	55.49418168	10.61822206	0.03	0.32	0.57	0.92	0.36	7.535	autumn	sand	2	16
autumn_17_eelgrass	27886.35508	-19.32727709	5.617077847	7.850547692	2.387620526	7.010283937	0.782563896	1	0.405771912	-4.829313906	-5.646963722	-1.393206091	0.008088938	0.003529119	2637.132513	280.642213	-0.85566611	2.238579763	0.375916929	27.44520775	14.80323792	-3.912023005	-0.606969484	-0.798507696	0.014888612	16/09/2019	55.48243617	9.71511814	0.02	0.545	0.45	1.015	0.425	9.38	autumn	eelgrass	3	17
autumn_17_rocks	28853.5517	-23.22694771	4.123102331	6.656799196	2.687847545	5.537206893	0.833857474	2	0.315367133	-5.365656843	-5.823359348	-1.414104563	0.004749548	0.002974186	879.2986347	66.49043684	-0.274436846	1.829376333	0.423094542	27.2721379	14.69228935	-3.218875825	0.460584407	0.620576488	1.248468044	16/09/2019	55.48988732	9.72807937	0.04	1.585	1.86	3.485	0.76	6.23	autumn	rocks	3	17
autumn_17_sand	28302.98714	-17.34274418	5.688808179	7.864838006	2.330180506	6.960074485	0.823279123	1	0.341421212	-4.437470718	-5.472967837	-1.271266305	0.01195672	0.00423915	2622.291811	299.2009905	-0.400477567	2.530517161	0.376944235	27.3424993	14.93069649	-3.912023005	-0.967584026	-0.916290732	-0.223143551	16/09/2019	55.4722045	9.72438389	0.02	0.38	0.4	0.8	0.67	12.56	autumn	sand	3	17
autumn_18_rocks	27393.83254	-19.8016525	5.013059774	7.176564265	2.317655171	6.089284226	0.818937915	2	0.34167	-4.739597076	-5.354765692	-1.076224452	0.008804258	0.004786012	1310.177254	151.9742659	0.570979547	3.643751326	2.594934492	24.20350357	14.80176163	-1.687399454	-1.220779923	2.412335957	2.454447442	17/09/2019	55.11464713	9.50277209	0.185	0.295	11.16	11.64	1.77	38.235	autumn	rocks	2	18
autumn_18_sand	29744.86299	-20.2571821	6.061144419	8.299228257	2.392234517	6.653201659	0.754862625	1	0.449219091	-4.429047148	-5.599274806	-0.59205724	0.011978341	0.00372288	4046.280097	431.8405994	0.877549904	3.732058668	NA	24.25895595	14.33679962	-1.491654877	-0.415515444	1.787584098	1.925707442	17/09/2019	55.11825552	9.4882245	0.225	0.66	5.975	6.86	2.405	41.765	autumn	sand	2	18
autumn_19_eelgrass	24878.44127	-20.71214207	5.148583189	7.346194391	2.351761881	6.245585052	0.806109167	2	0.367258205	-4.919613993	-5.663945355	-1.097001863	0.007313237	0.003538958	1561.158944	172.2163709	-0.867500568	2.48823444	1.687033799	17.74977314	12.03675652	-0.891598119	3.267665989	0.270027137	3.331132507	21/10/2019	55.04167237	10.25488398	0.41	26.25	1.31	27.97	0.42	12.04	autumn	eelgrass	2	19
autumn_19_rocks	24052.73666	-20.2842842	5.528617988	7.800419354	2.425952047	6.255513716	0.81676747	2	0.356788485	-4.320219104	-5.577368066	-0.726895729	0.014189413	0.003901612	2651.482595	264.4767176	-0.867500568	1.799231484	0.80203908	18.51820737	12.13624001	-1.46967597	2.610437372	0.415415439	2.731115474	21/10/2019	55.04015914	10.25435219	0.23	13.605	1.515	15.35	0.42	6.045	autumn	rocks	2	19
autumn_19_sand	20092.45594	-17.80923003	5.078019969	7.201958921	2.278089632	5.893833383	0.823399512	2	0.326386111	-4.844419981	-5.643116086	-0.815813414	0.007888032	0.003545993	1343.129941	160.7373544	-1.093624747	1.731655545	1.982019102	18.35552642	11.76206017	-1.63475572	2.386006701	-0.25489225	2.471483629	21/10/2019	55.06489033	10.21874036	0.195	10.87	0.775	11.84	0.335	5.65	autumn	sand	2	19
autumn_20_eelgrass	23797.51171	-16.83161993	5.607512656	7.977044319	2.523682343	5.974517567	0.804241932	1	0.363520909	-4.396480688	-5.288281178	-0.367004911	0.013463875	0.007460016	3443.091853	290.9047761	-2.079441542	1.241268589	0.904048662	14.62111002	12.27562714	-5.298317367	-1.660731207	1.590255093	1.62629503	22/10/2019	54.8791064	11.01524311	0.005	0.19	4.905	5.085	0.125	3.46	autumn	eelgrass	1	20
autumn_20_rocks	23630.729	-19.97734302	4.920489225	7.107343798	2.341005253	5.669392815	0.853355884	3	0.289432424	-4.656458141	-5.303806426	-0.74890359	0.009676152	0.005212554	1222.81864	137.8750488	-2.353878387	0.995101912	0.916098162	14.62492735	12.63769722	-5.298317367	-1.290984181	-0.127833372	0.126632651	22/10/2019	54.8803404	11.0176403	0.005	0.275	0.88	1.135	0.095	2.705	autumn	rocks	1	20
autumn_20_sand	21751.78996	-19.99558159	4.722628043	6.786197155	2.217719792	5.379048398	0.805974558	2	0.352806667	-5.564105646	-6.503801633	-0.656420355	0.00383318	0.001498465	885.7380086	112.5359365	-2.162823151	1.148988496	0.979893822	14.63151744	12.40977383	-5.298317367	-1.448169765	0.856540727	0.947789399	22/10/2019	54.88502254	11.01350353	0.005	0.235	2.355	2.58	0.115	3.155	autumn	sand	1	20
autumn_21_eelgrass	25092.88217	-17.41439245	6.61348711	8.843250095	2.383913664	6.925689613	0.699747711	1	0.508365152	-4.0832144	-5.844051738	-0.312202503	0.017022696	0.002908102	7022.414324	755.755253	-2.733368009	1.549687908	0.260469485	15.72899068	12.23364067	-3.101092789	-0.765717873	1.720979287	1.808288771	23/10/2019	54.91905585	11.49217673	0.045	0.465	5.59	6.1	0.065	4.71	autumn	eelgrass	2	21
autumn_21_rocks	24795.4735	-19.94187859	5.866899284	8.006341145	2.293592541	6.521120004	0.756329236	3	0.437422424	-4.595758687	-5.735515735	-0.654220719	0.0101172	0.003233402	3005.226864	353.6308983	-5.298317367	0.470003629	0.077418577	16.85777504	12.67362499	-5.298317367	-0.363843433	-0.653926467	0.194744077	23/10/2019	54.8378707	11.4936118	0.005	0.695	0.52	1.215	0.005	1.6	autumn	rocks	2	21
autumn_21_sand	21936.65533	-15.7684656	6.020913883	8.111118108	2.244354905	6.992951303	0.794740244	2	0.378508485	-4.725257924	-6.057000541	-0.97203742	0.008902171	0.002355482	3339.265807	412.7368517	-5.298317367	0.024692613	-1.182155743	16.47211128	12.1745863	-5.298317367	-1.560647748	-2.995732274	-1.514127733	23/10/2019	54.84748884	11.47969321	0.005	0.21	0.05	0.22	0.005	1.025	autumn	sand	2	21
autumn_23_rocks	18319.16173	-24.99508095	4.733994752	6.9182189	2.338374828	5.407439921	0.790069585	2	0.34432	-4.035881638	-3.665628692	-0.673445169	0.018504599	0.025766307	1017.690977	114.4539795	-2.040220829	1.153731588	1.029223214	9.231963865	12.53521729	-4.605170186	-0.544727175	-0.088831214	0.408792898	24/10/2019	54.955125	12.4624129	0.01	0.58	0.915	1.505	0.13	3.17	autumn	rocks	1	23
autumn_23_sand	19961.10565	-23.49066287	3.857873379	5.926156053	2.222433354	4.534096211	0.820360992	2	0.31510303	-4.99090841	-5.216892103	-0.676222832	0.007130346	0.005593002	380.2857587	48.23250508	-3.912023005	1.315066852	0.432773799	9.080047563	12.68154907	-5.298317367	-1.427116356	-1.406497068	-0.744440475	24/10/2019	54.95019802	12.47570698	0.005	0.24	0.245	0.475	0.02	3.725	autumn	sand	1	23
autumn_24_eelgrass	29538.66299	-18.42145039	6.688309086	8.799756471	2.265598065	7.386206968	0.721407307	1	0.483426111	-4.166142062	-6.040542781	-0.697897882	0.015598545	0.002391003	6698.943418	808.489658	-3.101092789	0.329303747	1.018469498	10.32708528	11.12942696	-5.298317367	-1.406497068	0.88376754	0.970778917	10/10/2019	55.13308773	12.08769028	0.005	0.245	2.42	2.64	0.045	1.39	autumn	eelgrass	1	24
autumn_24_rocks	31923.30594	-17.63685875	6.54645664	8.590103957	2.197797997	7.486374047	0.724276426	1	0.435311364	-4.276649513	-5.857751591	-0.939917407	0.01394016	0.002967249	5423.352149	701.9835058	-0.733969175	1.670533012	2.273386316	10.25186785	13.21798706	-2.995732274	-0.755022584	0.647103242	0.887891257	10/10/2019	55.1701609	12.0908908	0.05	0.47	1.91	2.43	0.48	5.315	autumn	rocks	1	24
autumn_24_sand	24678.85511	-18.80552533	5.196673399	7.21390296	2.171380241	6.078011429	0.770641998	2	0.409181481	-5.248745978	-6.158595327	-0.881338031	0.005258135	0.002151691	1361.22612	180.8810092	-5.298317367	1.309683259	0.099342069	10.34501222	10.84817219	-5.298317367	-1.328025453	0.521765564	0.660107326	10/10/2019	55.135901	12.10739352	0.005	0.265	1.685	1.935	0.005	3.705	autumn	sand	1	24
autumn_25_eelgrass	31969.11241	-20.45173766	6.676128428	8.892877975	2.370900227	7.090238252	0.720424612	1	0.477848485	-3.581710356	-5.064238629	-0.414109824	0.028547324	0.007533117	8092.33297	885.8481377	-1.514127733	2.214846179	0.34557173	11.01270833	13.23527145	-2.900422094	0.652325186	-0.385662481	0.976444655	03/10/2019	55.56489727	12.28239716	0.055	1.92	0.68	2.655	0.22	9.16	autumn	eelgrass	1	25
autumn_25_rocks	29460.95437	-21.02034012	6.369327408	8.428446122	2.213269394	7.005053107	0.76237003	2	0.416853535	-3.829257865	-4.552229779	-0.635725699	0.021844927	0.011133539	4700.133983	592.8799093	-0.30788478	2.525728644	0.432773799	11.48047651	13.93920994	-2.407945609	0.099845335	0.654925968	1.137833002	03/10/2019	55.56748637	12.28656134	0.09	1.105	1.925	3.12	0.735	12.5	autumn	rocks	1	25
autumn_25_sand	NA	-20.50175107	4.179749485	6.240418998	2.214820193	4.823768493	0.803848834	2	0.357343333	-5.899708769	-6.721514745	-0.644019008	0.002741492	0.001205501	514.6388422	65.43209435	-0.510825624	2.884800713	-0.171389534	11.48569882	13.91094685	-1.687399454	0.182321557	0.906240396	1.350667183	03/10/2019	55.56931596	12.28888679	0.185	1.2	2.475	3.86	0.6	17.9	autumn	sand	1	25
autumn_26_eelgrass	26820.54221	-20.68748154	4.317337271	6.557084609	2.393898018	5.457752948	0.811422228	2	0.357288384	-5.553156999	-6.088740417	-1.140415678	0.003937416	0.002291752	771.0882486	77.9191521	-1.093624747	1.792592456	0.916098162	17.44999892	14.17746925	-3.688879454	0.460584407	-1.448169765	0.612479277	02/10/2019	55.74929873	12.59476462	0.025	1.585	0.235	1.845	0.335	6.005	autumn	eelgrass	2	26
autumn_26_rocks	21993.27254	-20.13805066	4.262946605	6.577642772	2.468846847	5.058304237	0.830369701	2	0.327572727	-4.71311571	-5.215977717	-0.795357632	0.010207243	0.007678674	743.7832878	73.3412349	-1.290984181	1.540087834	0.305581099	18.09406033	14.03590584	-3.506557897	0.09531018	-0.527632742	0.542324291	02/10/2019	55.75903234	12.60278652	0.03	1.1	0.59	1.72	0.275	4.665	autumn	rocks	2	26
autumn_26_sand	20988.30755	-19.90406793	4.312964917	6.522987722	2.364173485	5.473334953	0.812659779	2	0.343427273	-5.424096687	-6.08463172	-1.160370036	0.00441518	0.002279709	685.7576614	75.45464254	-1.021651248	1.641905103	1.065975844	17.85499409	14.3802433	-4.199705078	-1.093624747	-1.742969305	-0.644357016	02/10/2019	55.75146986	12.59356584	0.015	0.335	0.175	0.525	0.36	5.165	autumn	sand	2	26
autumn_27_eelgrass	26323.33276	-22.7170893	5.577418321	7.632287092	2.20901945	5.94112355	0.778847041	2	0.400959091	-4.422735076	-5.569494915	-0.363705229	0.012434996	0.003849272	2212.957286	282.1402647	-1.237874356	1.706564623	0.542984454	19.22930972	12.77262783	-2.590267165	-0.139262067	0.009950331	0.670390193	16/10/2019	56.04229589	12.61937113	0.075	0.87	1.01	1.955	0.29	5.51	autumn	eelgrass	2	27
autumn_27_rocks	21672.29882	-20.19016068	3.682161886	5.767966544	2.239955338	4.857537283	0.831795548	2	0.308202525	-5.41041886	-5.649585496	-1.175375396	0.004482757	0.0036889	321.8789441	39.77954096	-0.342490309	1.691939134	1.145226738	18.60456674	12.78512383	-2.659260037	-0.06720875	1.110211425	1.396244692	16/10/2019	56.0411843	12.6181348	0.07	0.935	3.035	4.04	0.71	5.43	autumn	rocks	2	27
autumn_27_sand	16688.97347	-19.59569356	3.177771145	5.523883925	2.50026346	4.807629764	0.827408021	2	0.316794394	-5.8358892	-6.137893885	-1.629858619	0.002926593	0.002177244	260.6720869	24.38656617	-1.272965676	1.430311247	1.034551696	20.56559768	12.82640076	-2.900422094	-0.407968238	-0.673344553	0.207014169	16/10/2019	56.04450606	12.60919503	0.055	0.665	0.51	1.23	0.28	4.18	autumn	sand	2	27
autumn_28_eelgrass	28033.1175	-22.71824319	4.621078485	6.897539861	2.430612056	5.820596579	0.819324902	2	0.329486768	-5.432987106	-6.098602775	-1.199518094	0.004405578	0.002258116	1006.060846	104.6075611	-1.609437912	1.01523068	0.145674172	19.16525512	12.77928925	-5.298317367	-1.609437912	-0.06720875	0.122217633	01/10/2019	55.95139329	11.8471504	0.005	0.2	0.935	1.13	0.2	2.76	autumn	eelgrass	2	28
autumn_28_rocks	16765.44049	-32.55216423	NA	6.3764143	NA	NA	0.805949038	2.333333333	0.35809596	-5.123703611	-5.704936269	-1.409393893	0.006005111	0.003331107	589.8408494	NA	-1.386294361	1.414638834	0.593850203	19.17607607	13.36939621	-4.199705078	-0.423120043	1.363537374	1.521698998	01/10/2019	55.96726649	11.8442571	0.015	0.655	3.91	4.58	0.25	4.115	autumn	rocks	2	28
autumn_28_sand	25973.35781	-22.09962964	4.31928232	6.471904901	2.306773261	4.412180234	0.810139603	2	0.348441212	-5.067409103	-5.890133454	-0.092897915	0.006304431	0.002772464	664.843337	75.17131535	-1.660731207	1.223775432	0.470870106	18.30380049	13.54317856	-5.298317367	-1.366491734	-0.229413164	0.048790164	01/10/2019	55.96898158	11.84613189	0.005	0.255	0.795	1.05	0.19	3.4	autumn	sand	2	28
autumn_29_eelgrass	56946.71245	-24.77558885	5.402710767	7.619131849	2.370571762	5.878508555	0.799499911	2	0.368737821	-4.600486061	-4.711472859	-0.475797788	0.010132413	0.00906182	2075.570705	227.1534931	1.693779061	2.707716812	1.354962585	14.5029316	14.19524384	-0.653926467	1.251333376	0.987680728	1.902107526	30/09/2019	55.68531813	12.07090738	0.52	3.495	2.685	6.7	5.44	14.995	autumn	eelgrass	1	29
autumn_29_rocks	41398.82637	-29.76373958	3.912279532	6.984628656	3.226499804	4.485743289	0.823653958	3	0.348074848	-4.195232533	-3.046631956	-0.573463757	0.015748712	0.047858365	1091.806628	50.05013904	1.616413526	2.656756907	1.624150121	14.46906247	13.79972839	-0.85566611	1.034962262	0.891998039	1.736951233	30/09/2019	55.67983516	12.06896049	0.425	2.815	2.44	5.68	5.035	14.25	autumn	rocks	1	29
autumn_29_sand	59877.80643	-24.04927149	5.568455772	7.798853094	2.384548002	5.976251169	0.790690428	2	0.37643005	-4.369353908	-4.760198481	-0.407795396	0.012711461	0.008647167	2459.638438	265.1664725	1.591273942	2.731115474	2.105988902	14.56012987	14.06117219	-0.673344553	1.17711535	0.926241063	1.83736998	30/09/2019	55.68356509	12.07310664	0.51	3.245	2.525	6.28	4.91	15.35	autumn	sand	1	29
autumn_3_rocks	8037.296936	-30.63724902	3.625215106	5.655881637	2.184817211	5.639337328	0.845311568	2	0.301124647	-5.478714636	-5.643815881	-2.014122223	0.004181474	0.003540527	293.242372	39.53597709	-0.216913002	2.21211319	0.096763664	32.22219519	15.4725914	-0.673344553	1.009781075	1.719188776	2.178721106	24/09/2019	55.9967104	8.1173628	0.51	2.745	5.58	8.835	0.805	9.135	autumn	rocks	3	3
autumn_3_sand	2348.835109	-26.08858892	4.498739462	5.578902709	1.234313927	6.463235481	0.818987852	2	0.33644064	-5.287973103	-5.385876422	-1.96449602	0.005053968	0.004581293	266.3686887	91.11525054	-1.537117251	2.370243741	1.200850517	32.06534178	14.95973206	-1.801809805	-0.274436846	-2.995732274	-0.025317808	23/09/2019	55.98988942	8.12051726	0.165	0.76	0.05	0.975	0.215	10.7	autumn	sand	3	3
autumn_30_eelgrass	24137.16053	-19.09048361	5.313281486	7.759831677	2.600700871	6.04977739	0.791521051	2.333333333	0.374026364	-4.937789004	-5.764260594	-0.736495905	0.007302137	0.003151945	2429.064289	211.3477492	-1.560647748	0.579418415	-0.214984808	20.59974741	11.36923409	-5.298317367	-1.078809661	0.081579987	0.347129531	09/10/2019	55.75904756	11.31756065	0.005	0.34	1.085	1.415	0.21	1.785	autumn	eelgrass	2	30
autumn_30_rocks	24268.60079	-20.50159325	5.984128338	8.174662751	2.344685092	6.380617339	0.726654286	1	0.478861119	-4.308232644	-5.312706409	-0.396489	0.013643228	0.004934109	3665.826147	405.6208836	-1.347073648	0.715397789	0.26620952	20.59251327	12.26506233	-5.298317367	-0.994252273	-0.579818495	-0.077961541	09/10/2019	55.75466545	11.32239182	0.005	0.37	0.56	0.925	0.26	2.045	autumn	rocks	2	30
autumn_30_sand	20263.65028	-26.01379318	4.355546674	6.844322846	2.642926852	4.358161026	0.807925079	2	0.338020741	-5.466006663	-5.810268172	-0.002614352	0.004349159	0.003343135	959.5302875	78.36419398	-1.491654877	0.38865799	0.309971342	20.57601437	11.32012463	-5.298317367	-1.366491734	1.729884066	1.773255998	09/10/2019	55.75885483	11.34937786	0.005	0.255	5.64	5.89	0.225	1.475	autumn	sand	2	30
autumn_31_eelgrass	24076.74082	-24.22984234	4.91044947	7.251613845	2.495315054	6.134034533	0.801113	2	0.366102564	-4.976764812	-5.970930207	-1.223585063	0.00690005	0.002552988	1418.97756	135.8443964	-2.253794929	1.571736045	0.626377891	14.62589578	12.06023502	-5.298317367	-1.021651248	-0.400477567	0	08/10/2019	55.34659324	11.10107746	0.005	0.36	0.67	1	0.105	4.815	autumn	eelgrass	1	31
autumn_31_rocks	26551.6061	-31.27509348	4.459669876	7.30349678	2.997977584	5.398525646	0.846492553	3	0.288431212	-4.441745728	-3.052080834	-0.938855771	0.01201028	0.049054551	1524.161316	105.1949333	-2.253794929	1.665818246	0.885691554	13.91311981	12.43216896	-5.298317367	-0.606969484	0.194744077	0.551007413	08/10/2019	55.32808218	11.12842404	0.005	0.545	1.215	1.735	0.105	5.29	autumn	rocks	1	31
autumn_31_sand	17548.03033	-29.10943076	3.473795942	6.549115784	3.229470522	5.161878485	0.809705878	2	0.347853636	-5.482324213	-5.575900824	-1.688082543	0.004164109	0.003807555	698.672735	32.48109522	-2.162823151	1.678963975	0.774816657	14.54016914	12.47414112	-5.298317367	-0.928869514	-0.378336441	0.053540767	08/10/2019	55.3475465	11.10117661	0.005	0.395	0.685	1.055	0.115	5.36	autumn	sand	1	31
autumn_32_rocks	18507.00525	-24.59601324	4.45714315	6.699891678	2.396899208	5.66269046	0.80932127	3	0.348309167	-5.37523267	-6.219007591	-1.20554731	0.004766342	0.002617761	877.0573782	94.52671375	-1.966112856	2.130015828	1.253448626	7.773209631	12.97750854	-5.298317367	-1.5847453	-0.28103753	-0.06720875	14/10/2019	55.2521937	14.8263621	0.005	0.205	0.755	0.935	0.14	8.415	autumn	rocks	1	32
autumn_32_sand	13386.95756	-30.97239286	NA	5.628448189	NA	NA	0.830365214	3	0.321658333	-5.852160058	-6.557556449	-1.619660459	0.002889262	0.001427493	278.2356381	NA	-1.63475572	2.269545239	0.585550229	7.764268105	12.98147392	-5.298317367	-1.049822124	-0.723606388	-0.198450939	14/10/2019	55.2571398	14.8194941	0.005	0.35	0.485	0.82	0.195	9.675	autumn	sand	1	32
